	faith_pd
10317.000016688.2921	21.845929999999996
10317.000047664.7852	8.05958
10317.000050233.25501	10.22756
10317.000014801.3022	12.786399999999999
10317.000006857.4016	14.84582
10317.000072051.41931	18.15242
10317.000012960.2919	15.431790000000001
10317.000031194.2982	7.29589
10317.000102626.56079	8.0432
10317.000006634.2905	15.335899999999999
10317.000038054.26484	19.77802
10317.000083006.48742	14.456079999999998
10317.000086656.51570	19.3984
10317.000002370.2907	20.601229999999997
10317.000069099.26480	13.465689999999999
10317.000071573.45578	19.95274
10317.000091092.52698	17.736039999999996
10317.000049982.30606	21.02267
10317.000042617.25853	15.84207
10317.000079425.45578	5.26059
10317.000027231.3022	14.52446
10317.000066853.26480	4.737120000000002
10317.000033103.4491	7.87018
10317.000002028.2960	15.274059999999999
10317.000022343.2988	15.428550000000001
10317.000020606.3020	9.97015
10317.000007461.26483	13.61138
10317.000097975.54638	10.932769999999998
10317.000071390.26478	14.80984
10317.000093091.53379	18.601840000000003
10317.000058587.25370	15.08661
10317.000001230.3098	12.708680000000001
10317.000017365.25853	17.578159999999997
10317.000063507.33800	34.69277
10317.000041063.3080	12.88418
10317.000006689.2907	10.21677
10317.000018066.2921	17.00071
10317.000027728.3020	8.441259999999998
10317.000099079.56079	18.8982
10317.000011943.2923	16.90734
10317.000016238.2921	18.7691
10317.000066697.26478	12.481770000000003
10317.000050031.7852	15.61915
10317.000084335.42298	14.374859999999996
10317.000012510.26485	37.357639999999996
10317.000046606.4033	7.3566199999999995
10317.000070715.50470	14.935279999999999
10317.000028098.2982	16.828509999999998
10317.000030720.3516	17.418480000000002
10317.000069142.41931	19.331560000000003
10317.000014009.2988	12.955639999999999
10317.000010345.32954	10.22143
10317.000014126.2917	13.8351
10317.000067650.26479	16.54958
10317.000065972.53379	16.42491
10317.000069823.26478	10.3928
10317.000067601.26479	13.418009999999999
10317.000020664.2988	16.889930000000003
10317.000046422.25853	18.72605
10317.000096834.62401	3.93824
10317.000028511.3516	18.460069999999998
10317.000001662.2907	8.855290000000002
10317.000069109.26480	9.562270000000002
10317.000033426.4016	19.175139999999995
10317.000030187.3099	16.96768
10317.000046288.25501	13.26613
10317.000054005.42298	14.12994
10317.000021315.25370	5.49454
10317.000026554.25501	17.305120000000002
10317.000087103.48742	16.42381
10317.000033567.4016	6.958270000000001
10317.000011315.2932	13.838009999999999
10317.000001714.2948	12.77643
10317.000001032.2948	13.66386
10317.000005660.2946	9.5453
10317.000097216.54638	16.387030000000003
10317.000030748.3099	15.889019999999997
10317.000082686.42298	9.49135
10317.000011192.2923	14.18356
10317.000028969.2982	15.86516
10317.000022541.3022	15.18447
10317.000028432.3022	10.70023
10317.000068477.33800	13.83257
10317.000002159.2905	16.111919999999998
10317.000030484.26484	12.71256
10317.000007390.26483	11.048540000000001
10317.000046374.25501	7.855290000000001
